task,utilization,period,criticality,assigned core,core utilization
Task-16_copy-1,0.04331420862866923,500,high,4,0.4216844572527
Task-16_copy-2,0.04331420862866923,500,high,4,0.46499866588136923
Task-48,0.04324919289934748,200,high,4,0.5082478587807167
Task-48_copy-1,0.04324919289934748,200,high,4,0.5514970516800641
Task-48_copy-2,0.04324919289934748,200,high,4,0.5947462445794116
Task-40,0.042643117606042814,50,high,4,0.6373893621854544
Task-40_copy-1,0.042643117606042814,50,high,4,0.6800324797914972
Task-40_copy-2,0.042643117606042814,50,high,4,0.72267559739754
Task-14,0.04190798859111015,10,high,3,0.04190798859111015
Task-14_copy-1,0.04190798859111015,10,high,3,0.0838159771822203
Task-14_copy-2,0.04190798859111015,10,high,3,0.12572396577333045
Task-36,0.040556759951337305,10,high,3,0.16628072572466776
Task-36_copy-1,0.040556759951337305,10,high,3,0.20683748567600507
Task-36_copy-2,0.040556759951337305,10,high,3,0.24739424562734239
Task-99,0.036615313197543825,20,low,7,0.7479243826598506
Task-46,0.0365465064794126,50,high,3,0.28394075210675496
Task-46_copy-1,0.0365465064794126,50,high,3,0.32048725858616756
Task-46_copy-2,0.0365465064794126,50,high,3,0.35703376506558016
Task-17,0.036370932381193675,20,high,3,0.3934046974467738
Task-17_copy-1,0.036370932381193675,20,high,3,0.42977562982796746
Task-17_copy-2,0.036370932381193675,20,high,3,0.4661465622091611
Task-20,0.036314286951338204,200,high,3,0.5024608491604994
Task-20_copy-1,0.036314286951338204,200,high,3,0.5387751361118376
Task-20_copy-2,0.036314286951338204,200,high,3,0.5750894230631758
Task-8,0.035494259028613584,25,high,3,0.6105836820917894
Task-8_copy-1,0.035494259028613584,25,high,3,0.646077941120403
Task-8_copy-2,0.035494259028613584,25,high,3,0.6815722001490165
Task-10,0.03344601449595549,400,high,3,0.7150182146449721
Task-10_copy-1,0.03344601449595549,400,high,3,0.7484642291409276
Task-10_copy-2,0.03344601449595549,400,high,2,0.03344601449595549
Task-7,0.03255041015672511,400,high,2,0.0659964246526806
Task-7_copy-1,0.03255041015672511,400,high,2,0.09854683480940571
Task-7_copy-2,0.03255041015672511,400,high,2,0.13109724496613082
Task-32,0.03179488031307306,400,high,2,0.16289212527920388
Task-32_copy-1,0.03179488031307306,400,high,2,0.19468700559227695
Task-32_copy-2,0.03179488031307306,400,high,2,0.22648188590535
Task-15,0.03071404566093842,50,high,2,0.25719593156628845
Task-15_copy-1,0.03071404566093842,50,high,2,0.2879099772272269
Task-15_copy-2,0.03071404566093842,50,high,2,0.3186240228881653
Task-90,0.030039969437718694,400,low,2,0.348663992325884
Task-37,0.029494322833562236,200,high,2,0.37815831515944626
Task-37_copy-1,0.029494322833562236,200,high,2,0.4076526379930085
Task-37_copy-2,0.029494322833562236,200,high,2,0.43714696082657073
Task-91,0.02905789483901977,50,low,2,0.4662048556655905
Task-44,0.028187909525367576,20,high,2,0.4943927651909581
Task-44_copy-1,0.028187909525367576,20,high,2,0.5225806747163256
Task-44_copy-2,0.028187909525367576,20,high,2,0.5507685842416932
Task-21,0.027576447650078013,1000,high,2,0.5783450318917712
Task-21_copy-1,0.027576447650078013,1000,high,2,0.6059214795418493
Task-21_copy-2,0.027576447650078013,1000,high,2,0.6334979271919273
Task-64,0.025836921696583026,50,low,4,0.748512519094123
Task-19,0.02580712272528629,50,high,2,0.6593050499172136
Task-19_copy-1,0.02580712272528629,50,high,2,0.6851121726424999
Task-19_copy-2,0.02580712272528629,50,high,2,0.7109192953677862
Task-60,0.024752554797421666,400,low,2,0.7356718501652079
Task-62,0.023984231284837954,200,low,1,0.023984231284837954
Task-39,0.022758593906885654,25,high,1,0.04674282519172361
Task-39_copy-1,0.022758593906885654,25,high,1,0.06950141909860927
Task-39_copy-2,0.022758593906885654,25,high,1,0.09226001300549493
Task-56,0.020893556557138204,50,low,15,0.7484394962512821
Task-3,0.02033143064384883,25,high,1,0.11259144364934376
Task-3_copy-1,0.02033143064384883,25,high,1,0.13292287429319258
Task-3_copy-2,0.02033143064384883,25,high,1,0.1532543049370414
Task-25,0.020282371279159623,20,high,1,0.17353667621620103
Task-25_copy-1,0.020282371279159623,20,high,1,0.19381904749536066
Task-25_copy-2,0.020282371279159623,20,high,1,0.2141014187745203
Task-0,0.01902920764029581,10,high,1,0.2331306264148161
Task-0_copy-1,0.01902920764029581,10,high,1,0.2521598340551119
Task-0_copy-2,0.01902920764029581,10,high,1,0.2711890416954077
Task-11,0.018284726681153884,25,high,1,0.2894737683765616
Task-11_copy-1,0.018284726681153884,25,high,1,0.30775849505771546
Task-11_copy-2,0.018284726681153884,25,high,1,0.32604322173886935
Task-45,0.016687404044061438,50,high,1,0.3427306257829308
Task-45_copy-1,0.016687404044061438,50,high,1,0.3594180298269922
Task-45_copy-2,0.016687404044061438,50,high,1,0.37610543387105366
Task-31,0.01574809609256178,500,high,1,0.39185352996361544
Task-31_copy-1,0.01574809609256178,500,high,1,0.4076016260561772
Task-31_copy-2,0.01574809609256178,500,high,1,0.423349722148739
Task-47,0.015466097785654812,200,high,1,0.43881581993439384
Task-47_copy-1,0.015466097785654812,200,high,1,0.45428191772004867
Task-47_copy-2,0.015466097785654812,200,high,1,0.4697480155057035
Task-5,0.014195808922303025,1000,high,2,0.7498676590875109
Task-5_copy-1,0.014195808922303025,1000,high,1,0.48394382442800654
Task-5_copy-2,0.014195808922303025,1000,high,1,0.4981396333503096
Task-28,0.01374659874754395,100,high,1,0.5118862320978536
Task-28_copy-1,0.01374659874754395,100,high,1,0.5256328308453975
Task-28_copy-2,0.01374659874754395,100,high,1,0.5393794295929414
Task-42,0.012976011983005206,500,high,14,0.749532807342303
Task-42_copy-1,0.012976011983005206,500,high,1,0.5523554415759466
Task-42_copy-2,0.012976011983005206,500,high,1,0.5653314535589519
Task-29,0.011482522497434644,100,high,1,0.5768139760563865
Task-29_copy-1,0.011482522497434644,100,high,1,0.5882964985538212
Task-29_copy-2,0.011482522497434644,100,high,1,0.5997790210512558
Task-52,0.010055038705305996,400,low,6,0.7495686944669676
Task-93,0.009074365587090183,1000,low,16,0.7492465293827935
Task-38,0.008578598718759581,20,high,1,0.6083576197700153
Task-38_copy-1,0.008578598718759581,20,high,1,0.6169362184887749
Task-38_copy-2,0.008578598718759581,20,high,1,0.6255148172075344
Task-4,0.007130200158242654,100,high,1,0.632645017365777
Task-4_copy-1,0.007130200158242654,100,high,1,0.6397752175240197
Task-4_copy-2,0.007130200158242654,100,high,1,0.6469054176822623
Task-49,0.00706685219367742,25,high,1,0.6539722698759397
Task-49_copy-1,0.00706685219367742,25,high,1,0.6610391220696171
Task-49_copy-2,0.00706685219367742,25,high,1,0.6681059742632945
Task-13,0.0063325989367175595,100,high,1,0.6744385732000121
Task-13_copy-1,0.0063325989367175595,100,high,1,0.6807711721367297
Task-13_copy-2,0.0063325989367175595,100,high,1,0.6871037710734472
Task-12,0.006225511271635398,200,high,1,0.6933292823450826
Task-12_copy-1,0.006225511271635398,200,high,1,0.699554793616718
Task-12_copy-2,0.006225511271635398,200,high,1,0.7057803048883534
Task-41,0.005375515159856903,500,high,10,0.7498932669336654
Task-41_copy-1,0.005375515159856903,500,high,1,0.7111558200482103
Task-41_copy-2,0.005375515159856903,500,high,1,0.7165313352080672
Task-24,0.005349898342910109,200,high,1,0.7218812335509773
Task-24_copy-1,0.005349898342910109,200,high,1,0.7272311318938874
Task-24_copy-2,0.005349898342910109,200,high,1,0.7325810302367975
Task-1,0.004853444527385046,1000,high,11,0.7497163109855348
Task-1_copy-1,0.004853444527385046,1000,high,1,0.7374344747641826
Task-1_copy-2,0.004853444527385046,1000,high,1,0.7422879192915676
Task-69,0.004794374544118796,200,low,1,0.7470822938356864
Task-2,0.003588350126608001,400,high,9,0.7493579532505222
Task-2_copy-1,0.003588350126608001,400,high,16,0.7528348795094014
Task-2_copy-2,0.003588350126608001,400,high,16,0.7564232296360094
Task-63,0.0018044644964732015,100,low,13,0.7499907762889648
Task-30,0.001639671130933588,50,high,7,0.7495640537907842
Task-30_copy-1,0.001639671130933588,50,high,1,0.7487219649666199
Task-30_copy-2,0.001639671130933588,50,high,16,0.7580629007669429
Task-43,0.0006659838748150904,50,high,15,0.7491054801260972
Task-43_copy-1,0.0006659838748150904,50,high,15,0.7497714640009123
Task-43_copy-2,0.0006659838748150904,50,high,12,0.7497149598738582
