core,task,job,duration
3,Task-5_copy-2,"Task-5_copy-2, Job_3","{1500, 1553}"
3,Task-7_copy-2,"Task-7_copy-2, Job_4","{1600, 1610}"
3,Task-6,"Task-6, Job_4","{1610, 1611}"
3,Task-0_copy-2,"Task-0_copy-2, Job_4","{1611, 1612}"
4,Task-8_copy-2,"Task-8_copy-2, Job_0","{0, 6}"
4,Task-0,"Task-0, Job_0","{6, 7}"
4,Task-10,"Task-10, Job_0","{7, 99}"
4,Task-1_copy-1,"Task-1_copy-1, Job_0","{99, 124}"
4,Task-3,"Task-3, Job_0","{124, 130}"
4,Task-20,"Task-20, Job_0","{130, 167}"
4,Task-8_copy-2,"Task-8_copy-2, Job_1","{200, 206}"
4,Task-8_copy-2,"Task-8_copy-2, Job_2","{400, 406}"
4,Task-0,"Task-0, Job_1","{406, 407}"
4,Task-8_copy-2,"Task-8_copy-2, Job_3","{600, 606}"
4,Task-8_copy-2,"Task-8_copy-2, Job_4","{800, 806}"
4,Task-0,"Task-0, Job_2","{806, 807}"
4,Task-8_copy-2,"Task-8_copy-2, Job_5","{1000, 1006}"
4,Task-10,"Task-10, Job_1","{1006, 1098}"
4,Task-1_copy-1,"Task-1_copy-1, Job_1","{1098, 1123}"
4,Task-3,"Task-3, Job_1","{1123, 1129}"
4,Task-20,"Task-20, Job_1","{1129, 1166}"
4,Task-8_copy-2,"Task-8_copy-2, Job_6","{1200, 1206}"
4,Task-0,"Task-0, Job_3","{1206, 1207}"
4,Task-8_copy-2,"Task-8_copy-2, Job_7","{1400, 1406}"
4,Task-8_copy-2,"Task-8_copy-2, Job_8","{1600, 1606}"
4,Task-0,"Task-0, Job_4","{1606, 1607}"
4,Task-8_copy-2,"Task-8_copy-2, Job_9","{1800, 1806}"
5,Task-8_copy-1,"Task-8_copy-1, Job_0","{0, 6}"
5,Task-11_copy-2,"Task-11_copy-2, Job_0","{6, 13}"
5,Task-0_copy-1,"Task-0_copy-1, Job_0","{13, 14}"
5,Task-10_copy-1,"Task-10_copy-1, Job_0","{14, 106}"
5,Task-1_copy-2,"Task-1_copy-2, Job_0","{106, 131}"
5,Task-3_copy-1,"Task-3_copy-1, Job_0","{131, 137}"
5,Task-8_copy-1,"Task-8_copy-1, Job_1","{200, 206}"
5,Task-8_copy-1,"Task-8_copy-1, Job_2","{400, 406}"
5,Task-11_copy-2,"Task-11_copy-2, Job_1","{406, 413}"
5,Task-0_copy-1,"Task-0_copy-1, Job_1","{413, 414}"
5,Task-8_copy-1,"Task-8_copy-1, Job_3","{600, 606}"
5,Task-8_copy-1,"Task-8_copy-1, Job_4","{800, 806}"
5,Task-11_copy-2,"Task-11_copy-2, Job_2","{806, 813}"
5,Task-0_copy-1,"Task-0_copy-1, Job_2","{813, 814}"
5,Task-8_copy-1,"Task-8_copy-1, Job_5","{1000, 1006}"
5,Task-10_copy-1,"Task-10_copy-1, Job_1","{1006, 1098}"
5,Task-1_copy-2,"Task-1_copy-2, Job_1","{1098, 1123}"
5,Task-3_copy-1,"Task-3_copy-1, Job_1","{1123, 1129}"
5,Task-8_copy-1,"Task-8_copy-1, Job_6","{1200, 1206}"
5,Task-11_copy-2,"Task-11_copy-2, Job_3","{1206, 1213}"
5,Task-0_copy-1,"Task-0_copy-1, Job_3","{1213, 1214}"
5,Task-8_copy-1,"Task-8_copy-1, Job_7","{1400, 1406}"
5,Task-8_copy-1,"Task-8_copy-1, Job_8","{1600, 1606}"
5,Task-11_copy-2,"Task-11_copy-2, Job_4","{1606, 1613}"
5,Task-0_copy-1,"Task-0_copy-1, Job_4","{1613, 1614}"
5,Task-8_copy-1,"Task-8_copy-1, Job_9","{1800, 1806}"
6,Task-8,"Task-8, Job_0","{0, 6}"
6,Task-16,"Task-16, Job_0","{6, 17}"
6,Task-11,"Task-11, Job_0","{17, 24}"
6,Task-6_copy-1,"Task-6_copy-1, Job_0","{24, 25}"
6,Task-14,"Task-14, Job_0","{25, 29}"
6,Task-10_copy-2,"Task-10_copy-2, Job_0","{29, 121}"
6,Task-8,"Task-8, Job_1","{200, 206}"
6,Task-16,"Task-16, Job_1","{206, 217}"
6,Task-8,"Task-8, Job_2","{400, 406}"
6,Task-16,"Task-16, Job_2","{406, 417}"
6,Task-11,"Task-11, Job_1","{417, 424}"
6,Task-6_copy-1,"Task-6_copy-1, Job_1","{424, 425}"
6,Task-14,"Task-14, Job_1","{425, 429}"
6,Task-8,"Task-8, Job_3","{600, 606}"
6,Task-16,"Task-16, Job_3","{606, 617}"
6,Task-8,"Task-8, Job_4","{800, 806}"
6,Task-16,"Task-16, Job_4","{806, 817}"
6,Task-11,"Task-11, Job_2","{817, 824}"
6,Task-6_copy-1,"Task-6_copy-1, Job_2","{824, 825}"
6,Task-14,"Task-14, Job_2","{825, 829}"
6,Task-8,"Task-8, Job_5","{1000, 1006}"
6,Task-16,"Task-16, Job_5","{1006, 1017}"
6,Task-10_copy-2,"Task-10_copy-2, Job_1","{1017, 1109}"
6,Task-8,"Task-8, Job_6","{1200, 1206}"
6,Task-16,"Task-16, Job_6","{1206, 1217}"
6,Task-11,"Task-11, Job_3","{1217, 1224}"
6,Task-6_copy-1,"Task-6_copy-1, Job_3","{1224, 1225}"
6,Task-14,"Task-14, Job_3","{1225, 1229}"
6,Task-8,"Task-8, Job_7","{1400, 1406}"
6,Task-16,"Task-16, Job_7","{1406, 1417}"
6,Task-8,"Task-8, Job_8","{1600, 1606}"
6,Task-16,"Task-16, Job_8","{1606, 1617}"
6,Task-11,"Task-11, Job_4","{1617, 1624}"
6,Task-6_copy-1,"Task-6_copy-1, Job_4","{1624, 1625}"
6,Task-14,"Task-14, Job_4","{1625, 1629}"
6,Task-8,"Task-8, Job_9","{1800, 1806}"
6,Task-16,"Task-16, Job_9","{1806, 1817}"
7,Task-18,"Task-18, Job_0","{0, 21}"
7,Task-9_copy-2,"Task-9_copy-2, Job_0","{21, 28}"
7,Task-11_copy-1,"Task-11_copy-1, Job_0","{28, 35}"
7,Task-6_copy-2,"Task-6_copy-2, Job_0","{35, 36}"
7,Task-13,"Task-13, Job_0","{36, 38}"
7,Task-21,"Task-21, Job_0","{38, 100}"
7,Task-18,"Task-18, Job_1","{100, 121}"
7,Task-21,"Task-21, Job_0","{121, 196}"
7,Task-18,"Task-18, Job_2","{200, 221}"
7,Task-9_copy-2,"Task-9_copy-2, Job_1","{221, 228}"
7,Task-18,"Task-18, Job_3","{300, 321}"
7,Task-18,"Task-18, Job_4","{400, 421}"
7,Task-9_copy-2,"Task-9_copy-2, Job_2","{421, 428}"
7,Task-11_copy-1,"Task-11_copy-1, Job_1","{428, 435}"
7,Task-6_copy-2,"Task-6_copy-2, Job_1","{435, 436}"
7,Task-13,"Task-13, Job_1","{436, 438}"
7,Task-18,"Task-18, Job_5","{500, 521}"
7,Task-18,"Task-18, Job_6","{600, 621}"
7,Task-9_copy-2,"Task-9_copy-2, Job_3","{621, 628}"
7,Task-18,"Task-18, Job_7","{700, 721}"
7,Task-18,"Task-18, Job_8","{800, 821}"
7,Task-9_copy-2,"Task-9_copy-2, Job_4","{821, 828}"
7,Task-11_copy-1,"Task-11_copy-1, Job_2","{828, 835}"
7,Task-6_copy-2,"Task-6_copy-2, Job_2","{835, 836}"
7,Task-13,"Task-13, Job_2","{836, 838}"
7,Task-18,"Task-18, Job_9","{900, 921}"
7,Task-18,"Task-18, Job_10","{1000, 1021}"
7,Task-9_copy-2,"Task-9_copy-2, Job_5","{1021, 1028}"
7,Task-21,"Task-21, Job_1","{1028, 1100}"
7,Task-18,"Task-18, Job_11","{1100, 1121}"
7,Task-21,"Task-21, Job_1","{1121, 1186}"
7,Task-18,"Task-18, Job_12","{1200, 1221}"
7,Task-9_copy-2,"Task-9_copy-2, Job_6","{1221, 1228}"
7,Task-11_copy-1,"Task-11_copy-1, Job_3","{1228, 1235}"
7,Task-6_copy-2,"Task-6_copy-2, Job_3","{1235, 1236}"
7,Task-13,"Task-13, Job_3","{1236, 1238}"
7,Task-18,"Task-18, Job_13","{1300, 1321}"
7,Task-18,"Task-18, Job_14","{1400, 1421}"
7,Task-9_copy-2,"Task-9_copy-2, Job_7","{1421, 1428}"
7,Task-18,"Task-18, Job_15","{1500, 1521}"
7,Task-18,"Task-18, Job_16","{1600, 1621}"
7,Task-9_copy-2,"Task-9_copy-2, Job_8","{1621, 1628}"
7,Task-11_copy-1,"Task-11_copy-1, Job_4","{1628, 1635}"
7,Task-6_copy-2,"Task-6_copy-2, Job_4","{1635, 1636}"
7,Task-13,"Task-13, Job_4","{1636, 1638}"
7,Task-18,"Task-18, Job_17","{1700, 1721}"
7,Task-18,"Task-18, Job_18","{1800, 1821}"
7,Task-9_copy-2,"Task-9_copy-2, Job_9","{1821, 1828}"
7,Task-18,"Task-18, Job_19","{1900, 1921}"
8,Task-17,"Task-17, Job_0","{0, 29}"
8,Task-15,"Task-15, Job_0","{29, 110}"
8,Task-24,"Task-24, Job_0","{110, 122}"
8,Task-1,"Task-1, Job_0","{122, 147}"
8,Task-2_copy-2,"Task-2_copy-2, Job_0","{147, 152}"
8,Task-23,"Task-23, Job_0","{152, 192}"
8,Task-17,"Task-17, Job_1","{200, 229}"
8,Task-17,"Task-17, Job_2","{400, 429}"
8,Task-15,"Task-15, Job_1","{429, 510}"
8,Task-24,"Task-24, Job_1","{510, 522}"
8,Task-17,"Task-17, Job_3","{600, 629}"
8,Task-17,"Task-17, Job_4","{800, 829}"
8,Task-15,"Task-15, Job_2","{829, 910}"
8,Task-17,"Task-17, Job_5","{1000, 1029}"
8,Task-24,"Task-24, Job_2","{1029, 1041}"
8,Task-1,"Task-1, Job_1","{1041, 1066}"
8,Task-2_copy-2,"Task-2_copy-2, Job_1","{1066, 1071}"
8,Task-23,"Task-23, Job_1","{1071, 1111}"
8,Task-17,"Task-17, Job_6","{1200, 1229}"
8,Task-15,"Task-15, Job_3","{1229, 1310}"
8,Task-17,"Task-17, Job_7","{1400, 1429}"
8,Task-24,"Task-24, Job_3","{1500, 1512}"
8,Task-17,"Task-17, Job_8","{1600, 1629}"
8,Task-15,"Task-15, Job_4","{1629, 1710}"
8,Task-17,"Task-17, Job_9","{1800, 1829}"
