task,utilization,period,criticality,assigned core,core utilization
Task-15,0.002901727651252036,20,high,5,0.4990859101696833
Task-15_copy-1,0.002901727651252036,20,high,1,0.4993822027882133
Task-15_copy-2,0.002901727651252036,20,high,4,0.4996387396051245
Task-8,0.0025645024433695873,10,high,6,0.4994761688203496
Task-8_copy-1,0.0025645024433695873,10,high,3,0.49994927287070134
Task-8_copy-2,0.0025645024433695873,10,high,2,0.5000250916365583
Task-14,0.0017326056384049753,20,high,7,0.4991980825080279
Task-14_copy-1,0.0017326056384049753,20,high,8,0.4994127030267368
Task-14_copy-2,0.0017326056384049753,20,high,5,0.5008185158080882
Task-44,0.000626276043820928,25,low,7,0.4998243585518488
Task-18,0.0004909822974597707,25,high,1,0.4998731850856731
Task-18_copy-1,0.0004909822974597707,25,high,8,0.49990368532419655
Task-18_copy-2,0.0004909822974597707,25,high,6,0.49996715111780937
